Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Year
201401BS70078,525450,179980,-0.193863,51.504785,1,3,1,1,14/02/2014,6,14:49,12,E09000020,3,4204,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002826,2014
201401BS70080,524860,179170,-0.202646,51.497636,1,3,1,1,14/02/2014,6,18:28,12,E09000020,6,0,Single carriageway,30,,Giveway or uncontrolled,3,315,None within 50 metres,non-junction pedestrian crossing,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01002814,2014
201401CW10146,527920,181970,-0.157572,51.522116,1,3,2,1,14/02/2014,6,00:50,1,E09000033,3,501,Dual carriageway,20,,Automatic traffic signal,3,41,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01004660,2014
201401CW10147,526840,182460,-0.172955,51.526763,1,3,1,1,14/02/2014,6,01:59,1,E09000033,4,507,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,1,Yes,E01004728,2014
201401CW10155,526790,181990,-0.173844,51.52255,1,3,2,1,14/02/2014,6,06:56,1,E09000033,3,5,Single carriageway,30,,Stop Sign,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,E01033604,2014
201401CW10156,526410,181730,-0.179412,51.520298,1,3,2,1,14/02/2014,6,07:18,1,E09000033,3,404,Dual carriageway,40,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,1,Yes,E01004702,2014
201401CW10161,529400,180710,-0.136714,51.510455,1,3,1,1,14/02/2014,6,14:55,1,E09000033,5,0,One way street,30,,Giveway or uncontrolled,5,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01033595,2014
201401CW10162,530230,178980,-0.125399,51.494718,1,3,2,1,14/02/2014,6,18:05,1,E09000033,3,3212,Roundabout,30,,Giveway or uncontrolled,4,323,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,1,Yes,E01004733,2014
201401EK40073,528900,183860,-0.142763,51.538878,1,3,1,1,14/02/2014,6,15:00,2,E09000007,3,502,Single carriageway,30,,Automatic traffic signal,3,502,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01000863,2014
201401EK40074,528750,185540,-0.144311,51.55401,1,3,2,1,14/02/2014,6,21:30,2,E09000007,4,518,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01000928,2014
201401EK40077,529090,183340,-0.140216,51.534162,1,3,2,1,14/02/2014,6,12:10,2,E09000007,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine without high winds,Dry,None,None,1,Yes,,2014
201401EO40067,531740,183650,-0.101915,51.536336,1,3,1,1,14/02/2014,6,22:15,3,E09000019,3,104,Single carriageway,20,,Giveway or uncontrolled,6,0,None within 50 metres,Zebra crossing,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01002794,2014
201401EO40079,530920,186000,-0.112858,51.557645,1,3,2,1,14/02/2014,6,19:10,3,E09000019,3,103,Single carriageway,30,,Automatic traffic signal,3,503,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present and lit,Other,Wet/Damp,None,None,1,No,E01002751,2014
201401EO40128,531500,186580,-0.104279,51.562723,1,2,1,1,14/02/2014,6,17:39,3,E09000019,5,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,1,Yes,E01002748,2014
201401FH10057,524580,178400,-0.20695,51.490777,1,3,2,1,14/02/2014,6,16:05,11,E09000013,3,4,Single carriageway,30,,Automatic traffic signal,4,317,None within 50 metres,Pedestrian phase at traffic signal junction,Daylight: Street light present,Fine without high winds,Dry,None,None,1,No,E01001914,2014
201401FH10060,525570,175770,-0.193631,51.466922,1,3,1,1,14/02/2014,6,08:00,11,E09000013,6,0,Single carriageway,30,,Giveway or uncontrolled,6,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Fine with high winds,Dry,None,None,1,Yes,E01001934,2014
201401GD10104,533970,184810,-0.06934,51.546236,1,3,1,1,14/02/2014,6,00:21,4,E09000012,3,1207,Single carriageway,30,,Automatic traffic signal,3,104,None within 50 metres,Pedestrian phase at traffic signal junction,Darkness: Street lights present but unlit,Fine with high winds,Dry,None,None,1,Yes,E01001749,2014
201401GD10108,533370,184210,-0.078215,51.540986,1,3,2,1,14/02/2014,6,15:16,4,E09000012,6,0,Single carriageway,30,,,-1,0,None within 50 metres,No physical crossing within 50 meters,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,1,Yes,E01001750,2014
