LSOA11CD,LSOA11NM,BUASD11CD,BUASD11NM,BUA11CD,BUA11NM,LAD11CD,LAD11NM,LAD11NMW,RGN11CD,RGN11NM,RGN11NMW,ObjectId
E01000030,Barking and Dagenham 001D,E35001364,Barking and Dagenham BUASD,E34004707,Greater London BUA,E09000002,Barking and Dagenham,,E12000007,London,,32
E01000208,Barnet 033D,E35001035,Barnet BUASD,E34004707,Greater London BUA,E09000003,Barnet,,E12000007,London,,59
E01000211,Barnet 035C,E35001035,Barnet BUASD,E34004707,Greater London BUA,E09000003,Barnet,,E12000007,London,,67
E01000237,Barnet 032A,E35001035,Barnet BUASD,E34004707,Greater London BUA,E09000003,Barnet,,E12000007,London,,108
E01000132,Barnet 021B,E35001035,Barnet BUASD,E34004707,Greater London BUA,E09000003,Barnet,,E12000007,London,,279
E01000190,Barnet 014E,E35001035,Barnet BUASD,E34004707,Greater London BUA,E09000003,Barnet,,E12000007,London,,325
E01000647,Bromley 016B,E35000434,Bromley BUASD,E34004707,Greater London BUA,E09000006,Bromley,,E12000007,London,,436
E01000670,Bromley 018A,E35000434,Bromley BUASD,E34004707,Greater London BUA,E09000006,Bromley,,E12000007,London,,532
E01000535,Brent 031F,E35000585,Brent BUASD,E34004707,Greater London BUA,E09000005,Brent,,E12000007,London,,641
E01000811,Bromley 025C,E35000434,Bromley BUASD,E34004707,Greater London BUA,E09000006,Bromley,,E12000007,London,,768
E01000600,Brent 027E,E35000585,Brent BUASD,E34004707,Greater London BUA,E09000005,Brent,,E12000007,London,,788
E01000605,Brent 021F,E35000585,Brent BUASD,E34004707,Greater London BUA,E09000005,Brent,,E12000007,London,,793
E01000928,Camden 003E,E35000865,Camden BUASD,E34004707,Greater London BUA,E09000007,Camden,,E12000007,London,,816
E01000914,Camden 028B,E35000865,Camden BUASD,E34004707,Greater London BUA,E09000007,Camden,,E12000007,London,,919
E01001202,Ealing 025C,E35001504,Ealing BUASD,E34004707,Greater London BUA,E09000009,Ealing,,E12000007,London,,1097
E01001062,Croydon 026A,E35001466,Croydon BUASD,E34004707,Greater London BUA,E09000008,Croydon,,E12000007,London,,1146
E01001064,Croydon 026C,E35001466,Croydon BUASD,E34004707,Greater London BUA,E09000008,Croydon,,E12000007,London,,1152
E01000863,Camden 021A,E35000865,Camden BUASD,E34004707,Greater London BUA,E09000007,Camden,,E12000007,London,,1196
E01001272,Ealing 006D,E35001504,Ealing BUASD,E34004707,Greater London BUA,E09000009,Ealing,,E12000007,London,,1203
E01001549,Enfield 006D,E35000978,Enfield BUASD,E34004707,Greater London BUA,E09000010,Enfield,,E12000007,London,,1366
E01001914,Hammersmith and Fulham 014D,E35000839,Hammersmith and Fulham BUASD,E34004707,Greater London BUA,E09000013,Hammersmith and Fulham,,E12000007,London,,1621
E01001934,Hammersmith and Fulham 025B,E35000839,Hammersmith and Fulham BUASD,E34004707,Greater London BUA,E09000013,Hammersmith and Fulham,,E12000007,London,,1644
E01001813,Hackney 002E,E35000973,Hackney BUASD,E34004707,Greater London BUA,E09000012,Hackney,,E12000007,London,,1696
E01001749,Hackney 020B,E35000973,Hackney BUASD,E34004707,Greater London BUA,E09000012,Hackney,,E12000007,London,,1735
E01001750,Hackney 021C,E35000973,Hackney BUASD,E34004707,Greater London BUA,E09000012,Hackney,,E12000007,London,,1741
E01002029,Haringey 016B,E35000478,Haringey BUASD,E34004707,Greater London BUA,E09000014,Haringey,,E12000007,London,,1934
E01001659,Greenwich 034D,E35001510,Greenwich BUASD,E34004707,Greater London BUA,E09000011,Greenwich,,E12000007,London,,1956
E01002259,Havering 018D,E35001275,Havering BUASD,E34004707,Greater London BUA,E09000016,Havering,,E12000007,London,,2009
E01002441,Hillingdon 003D,E35001271,Harefield BUASD,E34004835,Harefield BUA,E09000017,Hillingdon,,E12000007,London,,2230
E01002321,Havering 021B,E35001275,Havering BUASD,E34004707,Greater London BUA,E09000016,Havering,,E12000007,London,,2249
E01002682,Hounslow 014D,E35001294,Hounslow BUASD,E34004707,Greater London BUA,E09000018,Hounslow,,E12000007,London,,2426
E01002794,Islington 020B,E35000168,Islington BUASD,E34004707,Greater London BUA,E09000019,Islington,,E12000007,London,,2486
E01002814,Kensington and Chelsea 015A,E35000074,Kensington and Chelsea BUASD,E34004707,Greater London BUA,E09000020,Kensington and Chelsea,,E12000007,London,,2509
