Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401BS70078,525450,179980,-0.193863,51.504785,3,1,1,14:49,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01002826
201401BS70080,524860,179170,-0.202646,51.497636,3,1,1,18:28,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01002814
201401CW10146,527920,181970,-0.157572,51.522116,3,2,1,00:50,Dual carriageway,20,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,Yes,E01004660
201401CW10147,526840,182460,-0.172955,51.526763,3,1,1,01:59,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,Yes,E01004728
201401CW10155,526790,181990,-0.173844,51.52255,3,2,1,06:56,Single carriageway,30,Stop Sign,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01033604
201401CW10156,526410,181730,-0.179412,51.520298,3,2,1,07:18,Dual carriageway,40,0,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01004702
201401CW10161,529400,180710,-0.136714,51.510455,3,1,1,14:55,One way street,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01033595
201401CW10162,530230,178980,-0.125399,51.494718,3,2,1,18:05,Roundabout,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01004733
201401EK40073,528900,183860,-0.142763,51.538878,3,1,1,15:00,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01000863
201401EK40074,528750,185540,-0.144311,51.55401,3,2,1,21:30,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01000928
