Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year
201401BS70078,26 - 35,4,Urban area,2,2499,None,None,Journey as part of work,Cleared junction or waiting/parked at junction exit,LONDON TAXIS INT,TX4 ELEGANCE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,Taxi/Private hire car,No,Front,2014
201401CW10146,26 - 35,1,Urban area,9,2499,None,None,Not known,Mid Junction - on roundabout or on main road,LONDON TAXIS INT,TX4 ELEGANCE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Taxi/Private hire car,No,Offside,2014
201401CW10147,36 - 45,2,Data missing or out of range,,6700,None,None,Journey as part of work,Approaching junction or waiting/parked at junction approach,ALEXANDER DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,1,Bus or coach (17 or more pass seats),No,Did not impact,2014
201401CW10155,26 - 35,11,Urban area,9,1896,None,None,Not known,Mid Junction - on roundabout or on main road,AUDI,A4 SPORT TDI(130) AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,Car,No,Nearside,2014
201401CW10156,46 - 55,,Urban area,1,,None,None,Journey as part of work,Not at or within 20 metres of junction,CITROEN,BERLINGO 625 LX HDI,,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead left-hand bend,2,Car,No,Nearside,2014
201401CW10161,46 - 55,1,Data missing or out of range,,2987,None,None,Journey as part of work,Mid Junction - on roundabout or on main road,MERCEDES,S350 L AMG SPORT EDN BLUETE,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Reversing,1,Car,No,Nearside,2014
201401CW10162,36 - 45,14,Urban area,2,1895,None,None,Not known,Mid Junction - on roundabout or on main road,BMW,318I SE TOURING AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Changing lane to right,1,Car,No,Offside,2014
201401EK40073,36 - 45,2,Urban area,2,124,None,None,Journey as part of work,Mid Junction - on roundabout or on main road,YAMAHA,WR 125 X,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,No,Front,2014
201401EO40067,36 - 45,8,Urban area,9,2148,None,None,Journey as part of work,Approaching junction or waiting/parked at junction approach,MERCEDES,E220 CDI AVANTGARDE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Reversing,1,Taxi/Private hire car,No,Back,2014
201401EO40079,56 - 65,5,Urban area,7,1390,None,None,Not known,Mid Junction - on roundabout or on main road,VOLKSWAGEN,GOLF S TSI S-A,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Car,No,Offside,2014
201401EO40128,56 - 65,1,Urban area,5,1197,None,None,Not known,Mid Junction - on roundabout or on main road,VOLKSWAGEN,GOLF S BLUEMOTIN TECHN TSI,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,Car,No,Offside,2014
201401GD10104,26 - 35,1,Small town,4,2499,None,None,Journey as part of work,Cleared junction or waiting/parked at junction exit,LONDON TAXIS INT,TX4 ELEGANCE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Reversing,1,Taxi/Private hire car,No,Back,2014
201401GD10108,26 - 35,11,Urban area,4,125,None,None,Not known,Not at or within 20 metres of junction,HONDA,SH 125-3,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Motorcycle 125cc and under,No,Front,2014
201401HT20114,26 - 35,7,Urban area,3,2402,None,None,Not known,Approaching junction or waiting/parked at junction approach,FORD,TRANSIT 100 T350L RWD,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Changing lane to right,2,Van / Goods 3.5 tonnes mgw or under,No,Offside,2014
201401HT20125,46 - 55,10,Urban area,3,1998,None,None,Not known,Mid Junction - on roundabout or on main road,HONDA,CR-V VTEC SE,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead right-hand bend,2,Car,No,Back,2014
201401HT20218,Data missing or out of range,13,Data missing or out of range,,1896,Bollard or refuge,None,Not known,Cleared junction or waiting/parked at junction exit,VOLKSWAGEN,SHARAN CARAT TDI,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Car,No,Front,2014
201401JC30071,36 - 45,10,Urban area,1,2151,None,None,Not known,Cleared junction or waiting/parked at junction exit,MERCEDES,SPRINTER 311 CDI MWB,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Van / Goods 3.5 tonnes mgw or under,No,Front,2014
201401JC30072,26 - 35,8,Urban area,4,1686,None,None,Not known,Not at or within 20 metres of junction,VAUXHALL,ASTRA SXI CDTI 100,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Car,No,Back,2014
201401JC30079,46 - 55,17,Urban area,4,998,None,None,Not known,Mid Junction - on roundabout or on main road,NISSAN,MICRA,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Car,No,Nearside,2014
201401JI40156,16 - 20,9,Urban area,7,1390,None,None,Not known,Mid Junction - on roundabout or on main road,VOLKSWAGEN,GOLF S,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Car,No,Nearside,2014
201401KD50061,26 - 35,13,Urban area,2,1870,None,None,Not known,Not at or within 20 metres of junction,RENAULT,MEGANE SCENIC DYNAM+ DCI,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Car,No,Front,2014
201401KD50082,36 - 45,5,Urban area,8,1991,None,None,Not known,Approaching junction or waiting/parked at junction approach,CHEVROLET,CRUZE LT VCDI,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Car,No,Back,2014
201401KF60076,46 - 55,2,Urban area,2,1798,None,None,Journey as part of work,Approaching junction or waiting/parked at junction approach,TOYOTA,PRIUS T SPIRIT VVT-I CVT,Hybrid electric,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Taxi/Private hire car,No,Back,2014
201401KF60119,26 - 35,10,Urban area,1,1124,None,None,Not known,Mid Junction - on roundabout or on main road,SMART,FORFOUR PULSE,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Car,No,Offside,2014
201401KF60140,26 - 35,4,Urban area,2,108,None,None,Journey as part of work,Approaching junction or waiting/parked at junction approach,HONDA,NHX 110 WH-A,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,No,Front,2014
201401KF60153,46 - 55,5,Urban area,2,1388,None,None,Journey as part of work,Cleared junction or waiting/parked at junction exit,FORD,FUSION STYLE CLIMATE,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,Car,No,Front,2014
201401KF60161,36 - 45,2,Urban area,1,1596,None,None,Not known,Approaching junction or waiting/parked at junction approach,FORD,FOCUS ZETEC 125,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Moving off,2,Car,No,Front,2014
201401KG70046,46 - 55,8,Urban area,5,1753,None,None,Commuting to/from work,Not at or within 20 metres of junction,FORD,FOCUS LX TDCI,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Car,No,Front,2014
201401LX50128,26 - 35,1,Urban area,,600,None,None,Not known,Mid Junction - on roundabout or on main road,YAMAHA,XJ 6 F DIVERSION,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Turning left,1,Motorcycle over 500cc,No,Offside,2014
201401PL60101,46 - 55,12,Urban area,4,2151,Kerb,Tree,Journey as part of work,Approaching junction or waiting/parked at junction approach,MERCEDES,SPRINTER 411 CDI,Heavy oil,Male,None,No tow/articulation,Nearside,0,Going ahead other,1,Minibus (8 - 16 passenger seats),No,Front,2014
201401PL60124,36 - 45,8,Urban area,2,8268,None,None,Journey as part of work,Approaching junction or waiting/parked at junction approach,ALEXANDER DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Bus or coach (17 or more pass seats),No,Did not impact,2014
201401PY20078,Data missing or out of range,5,Data missing or out of range,,4244,None,None,Not known,Approaching junction or waiting/parked at junction approach,MASERATI,GRAN TURISMO V8 AUTO,Petrol,Not known,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,2,Car,No,Front,2014
201401PY20079,Over 75,18,Urban area,10,1275,None,None,Not known,Mid Junction - on roundabout or on main road,NISSAN,MICRA GX AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Car,No,Offside,2014
201401PY20250,56 - 65,2,Urban area,9,1995,None,None,Not known,Mid Junction - on roundabout or on main road,NISSAN,QASHQAI TEKNA +2 DCI 4X4A,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Changing lane to left,1,Car,No,Nearside,2014
201401QK50077,Data missing or out of range,,Data missing or out of range,,,None,None,Not known,Mid Junction - on roundabout or on main road,CITROEN,DISPATCH 1000 HDI 90 SWB,,Male,None,No tow/articulation,Did not leave carriageway,0,Turning right,2,Car,No,Front,2014
201401QK50084,26 - 35,,Urban area,1,,None,None,Not known,Approaching junction or waiting/parked at junction approach,VAUXHALL,CORSA CDTI,,Female,None,No tow/articulation,Did not leave carriageway,0,Reversing,1,Car,No,Back,2014
201401QK50113,36 - 45,12,Urban area,3,2979,None,None,Not known,Approaching junction or waiting/parked at junction approach,BMW,530I SPORT AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Waiting to turn left,1,Car,No,Back,2014
201401RG40084,Data missing or out of range,,Urban area,3,,None,None,Not known,Not at or within 20 metres of junction,FORD,TRANSIT 190 LWB,,Male,None,No tow/articulation,Did not leave carriageway,0,Parked,2,Car,No,Front,2014
201401SX20095,56 - 65,2,Urban area,1,1997,None,None,Not known,Mid Junction - on roundabout or on main road,FORD,GALAXY ZETEC TDCI AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Car,No,Front,2014
201401SX20114,26 - 35,4,Small town,9,1560,None,None,Journey as part of work,Not at or within 20 metres of junction,VOLVO,V50 S D DRIVE,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Car,No,Back,2014
201401SX20151,56 - 65,10,Urban area,2,1199,None,None,Journey as part of work,Leaving main road,VAUXHALL,CORSA ENERGY 16V S-A,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Turning right,1,Car,No,Front,2014
201401SX20285,46 - 55,10,Data missing or out of range,,1998,None,None,Not known,Not at or within 20 metres of junction,TOYOTA,RAV4 XT3 VVTI,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,Car,No,Back,2014
201401TD00006,Over 75,14,Urban area,8,1598,Parked vehicle,None,Not known,Not at or within 20 metres of junction,VAUXHALL,ASTRA CD 16V AUTO,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0,Reversing,1,Car,No,Nearside,2014
201401TD00008,46 - 55,6,Urban area,3,1896,None,None,Not known,Not at or within 20 metres of junction,SKODA,OCTAVIA CLASSIC TDI AUTO,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Car,No,Front,2014
201401TW60065,21 - 25,2,Urban area,7,1399,None,None,Not known,Not at or within 20 metres of junction,FORD,FIESTA ZETEC TDCI 70,Heavy oil,Female,None,No tow/articulation,Did not leave carriageway,0,Waiting to go - held up,1,Car,No,Back,2014
201401TW60066,36 - 45,4,Rural,8,1242,None,None,Journey as part of work,Mid Junction - on roundabout or on main road,FIAT,500 C POP S-A,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0,Slowing or stopping,1,Car,No,Offside,2014
201401TW60117,66 - 75,7,Urban area,,124,None,None,Not known,Mid Junction - on roundabout or on main road,YAMAHA,NXC 125 CYGNUS,Petrol,Male,Skidded,No tow/articulation,Did not leave carriageway,0,Going ahead other,1,Motorcycle 125cc and under,No,Did not impact,2014
